SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCC(=O)NC1C(O)OC(CO)C(O)C1O,nonionic,0,0,0.045000000023278044,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.65321251 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O,nonionic,0,0,0.06999999999770205,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.84509804 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,nonionic,0,0,0.003999999996979355,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.60205999 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,nonionic,0,0,0.005300000004871852,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.72427587 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,nonionic,0,0,0.00499999999613144,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.69897 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCOC1OC(CO)C(O)C(O)C1N,nonionic,0,0,0.006999999999770205,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.84509804 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOC1OC(CO)C(O)C(O)C1N,nonionic,0,0,0.022999999999068294,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.36172784 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,nonionic,0,0,0.0012999999990815274,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,nonionic,0,0,0.0022999999999068293,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.36172784 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,nonionic,0,0,0.00014000000010372377,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.14612804 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,nonionic,0,0,0.00025000000018879034,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.39794001 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,nonionic,0,0,9.300000009552056e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.968482949 converted to mol/L; https://github.com/sandialabs/P2SURF
